id,comuna,n,date,address,address2,empty_address,lat,lon,aprox,region,zoom
12,Diego de Almagro,1,3/29/2020,"Diego de Almagro, Region de Atacama, Chile","Diego+de+Almagro,+Region+de+Atacama,+Chile",0,-26.3902488,-70.0475302,,Atacama,11
13,Copiapo,1,3/29/2020,"Copiapo, Region de Atacama, Chile","Copiapo,+Region+de+Atacama,+Chile",0,-27.3665763,-70.3321587,,Atacama,11
14,Coquimbo,17,3/29/2020,"Coquimbo, Region de Coquimbo, Chile","Coquimbo,+Region+de+Coquimbo,+Chile",0,-29.9590009,-71.3389183,,Coquimbo,11
15,Ovalle,4,3/29/2020,"Ovalle, Region de Coquimbo, Chile","Ovalle,+Region+de+Coquimbo,+Chile",0,-30.604304,-71.1969882,,Coquimbo,11
16,La Serena,2,3/29/2020,"La Serena, Region de Coquimbo, Chile","La+Serena,+Region+de+Coquimbo,+Chile",0,-29.9026691,-71.2519374,1,Coquimbo,11
17,Rio Hurtado,1,3/29/2020,"Rio Hurtado, Region de Coquimbo, Chile","Rio+Hurtado,+Region+de+Coquimbo,+Chile",0,-30.266667,-70.666667,1,Coquimbo,11
18,Salamanca,1,3/29/2020,"Salamanca, Region de Coquimbo, Chile","Salamanca,+Region+de+Coquimbo,+Chile",0,-31.782493,-70.9607105,1,Coquimbo,11
19,Los Vilos,2,3/29/2020,"Los Vilos, Region de Coquimbo, Chile","Los+Vilos,+Region+de+Coquimbo,+Chile",0,-31.9121865,-71.5112017,1,Coquimbo,11
20,Algarrobo,7,3/29/2020,"Algarrobo, Region de Valparaiso, Chile","Algarrobo,+Region+de+Valparaiso,+Chile",0,-33.3647762,-71.6705534,,Valparaiso,11
21,Calera,6,3/29/2020,"Calera, Region de Valparaiso, Chile","Calera,+Region+de+Valparaiso,+Chile",0,-32.7873428,-71.20732,,Valparaiso,11
22,Quillota,6,3/29/2020,"Quillota, Region de Valparaiso, Chile","Quillota,+Region+de+Valparaiso,+Chile",0,-32.8803027,-71.2497156,,Valparaiso,11
23,Quilpue,11,3/29/2020,"Quilpue, Region de Valparaiso, Chile","Quilpue,+Region+de+Valparaiso,+Chile",0,-33.0482707,-71.4408752,,Valparaiso,11
24,Valparaiso,16,3/29/2020,"Valparaiso, Region de Valparaiso, Chile","Valparaiso,+Region+de+Valparaiso,+Chile",0,-33.047238,-71.6126885,,Valparaiso,11
25,Villa Alemana,6,3/29/2020,"Villa Alemana, Region de Valparaiso, Chile","Villa+Alemana,+Region+de+Valparaiso,+Chile",0,-33.0495006,-71.374603,,Valparaiso,11
26,Vina del Mar,29,3/29/2020,"Vina del Mar, Region de Valparaiso, Chile","Vina+del+Mar,+Region+de+Valparaiso,+Chile",0,-33.0153481,-71.5500276,,Valparaiso,11
27,La Ligua,2,3/29/2020,"La Ligua, Region de Valparaiso, Chile","La+Ligua,+Region+de+Valparaiso,+Chile",0,-32.4499018,-71.2325958,1,Valparaiso,11
28,Putaendo,2,3/29/2020,"Putaendo, Region de Valparaiso, Chile","Putaendo,+Region+de+Valparaiso,+Chile",0,-32.628461,-70.7177434,1,Valparaiso,11
29,San Felipe,2,3/29/2020,"San Felipe, Region de Valparaiso, Chile","San+Felipe,+Region+de+Valparaiso,+Chile",0,-32.75,-70.7208115,1,Valparaiso,11
30,Los Andes,2,3/29/2020,"Los Andes, Region de Valparaiso, Chile","Los+Andes,+Region+de+Valparaiso,+Chile",0,-32.8337995,-70.5972179,1,Valparaiso,11
31,Quintero,2,3/29/2020,"Quintero, Region de Valparaiso, Chile","Quintero,+Region+de+Valparaiso,+Chile",0,-32.7723101,-71.5333,1,Valparaiso,11
32,Concon,2,3/29/2020,"Concon, Region de Valparaiso, Chile","Concon,+Region+de+Valparaiso,+Chile",0,-32.9299468,-71.5186065,1,Valparaiso,11
33,Limache,2,3/29/2020,"Limache, Region de Valparaiso, Chile","Limache,+Region+de+Valparaiso,+Chile",0,-33.0012816,-71.268144,1,Valparaiso,11
34,Casa Blanca,2,3/29/2020,"Casa Blanca, Region de Valparaiso, Chile","Casa+Blanca,+Region+de+Valparaiso,+Chile",0,-33.3182828,-71.4070899,1,Valparaiso,11
35,El Tabo,1,3/29/2020,"El Tabo, Region de Valparaiso, Chile","El+Tabo,+Region+de+Valparaiso,+Chile",0,-33.4557162,-71.6669341,1,Valparaiso,11
36,San Antonio,2,3/29/2020,"San Antonio, Region de Valparaiso, Chile","San+Antonio,+Region+de+Valparaiso,+Chile",0,-33.5922807,-71.6055123,1,Valparaiso,11
37,Santo Domingo,1,3/29/2020,"Santo Domingo, Region de Valparaiso, Chile","Santo+Domingo,+Region+de+Valparaiso,+Chile",0,-33.635833,-71.628056,1,Valparaiso,11
38,Rancagua,7,3/29/2020,"Rancagua, Region de Ohiggins, Chile","Rancagua,+Region+de+Ohiggins,+Chile",0,-34.1701324,-70.7406259,,Ohiggins,11
39,Machali,2,3/29/2020,"Machali, Region de Ohiggins, Chile","Machali,+Region+de+Ohiggins,+Chile",0,-34.179452,-70.6565151,1,Ohiggins,11
40,Requinoa,2,3/29/2020,"Requinoa, Region de Ohiggins, Chile","Requinoa,+Region+de+Ohiggins,+Chile",0,-34.2883749,-70.815833,1,Ohiggins,11
41,Rengo,1,3/29/2020,"Rengo, Region de Ohiggins, Chile","Rengo,+Region+de+Ohiggins,+Chile",0,-34.4028433,-70.8608394,1,Ohiggins,11
42,Quinta de Tilcoco,1,3/29/2020,"Quinta de Tilcoco, Region de Ohiggins, Chile","Quinta+de+Tilcoco,+Region+de+Ohiggins,+Chile",0,-34.3554003,-70.9704681,1,Ohiggins,11
43,San Fernando,3,3/29/2020,"San Fernando, Region de Ohiggins, Chile","San+Fernando,+Region+de+Ohiggins,+Chile",0,-34.5858603,-70.9907801,1,Ohiggins,11
44,Curico,6,3/29/2020,"Curico, Region del Maule, Chile","Curico,+Region+del+Maule,+Chile",0,-34.9779853,-71.2528803,,Maule,11
45,Linares,4,3/29/2020,"Linares, Region del Maule, Chile","Linares,+Region+del+Maule,+Chile",0,-35.846407,-71.5996137,,Maule,11
46,Parral,4,3/29/2020,"Parral, Region del Maule, Chile","Parral,+Region+del+Maule,+Chile",0,-36.1406484,-71.8227528,,Maule,11
47,Talca,34,3/29/2020,"Talca, Region del Maule, Chile","Talca,+Region+del+Maule,+Chile",0,-35.4232444,-71.6484804,,Maule,11
48,Romeral,1,3/29/2020,"Romeral, Region del Maule, Chile","Romeral,+Region+del+Maule,+Chile",0,-34.933333,-71.316667,1,Maule,11
49,Molina,1,3/29/2020,"Molina, Region del Maule, Chile","Molina,+Region+del+Maule,+Chile",0,-35.1164987,-71.2829759,1,Maule,11
50,Rio Claro,1,3/29/2020,"Rio Claro, Region del Maule, Chile","Rio+Claro,+Region+del+Maule,+Chile",0,-35.2808267,-71.2599507,1,Maule,11
51,Maule,1,3/29/2020,"Maule, Region del Maule, Chile","Maule,+Region+del+Maule,+Chile",0,-35.5163603,-71.5723953,1,Maule,11
52,Pelluhue,1,3/29/2020,"Pelluhue, Region del Maule, Chile","Pelluhue,+Region+del+Maule,+Chile",0,-35.8141512,-72.5749979,1,Maule,11
53,Cauquenes,2,3/29/2020,"Cauquenes, Region del Maule, Chile","Cauquenes,+Region+del+Maule,+Chile",0,-35.9676285,-72.3222331,1,Maule,11
54,Longavi,1,3/29/2020,"Longavi, Region del Maule, Chile","Longavi,+Region+del+Maule,+Chile",0,-35.9636265,-71.6831251,1,Maule,11
55,Colbun,2,3/29/2020,"Colbun, Region del Maule, Chile","Colbun,+Region+del+Maule,+Chile",0,-35.699248,-71.4146915,1,Maule,11
56,Bulnes,12,3/29/2020,"Bulnes, Region de Nuble, Chile","Bulnes,+Region+de+Nuble,+Chile",0,-36.7421593,-72.3017718,,Nuble,11
57,Chillan,114,3/29/2020,"Chillan, Region de Nuble, Chile","Chillan,+Region+de+Nuble,+Chile",0,-36.6062618,-72.1023351,,Nuble,11
58,Chillan Viejo,13,3/29/2020,"Chillan Viejo, Region de Nuble, Chile","Chillan+Viejo,+Region+de+Nuble,+Chile",0,-36.6291031,-72.1397968,,Nuble,11
59,Quillon,4,3/29/2020,"Quillon, Region de Nuble, Chile","Quillon,+Region+de+Nuble,+Chile",0,-36.7338906,-72.4602031,1,Nuble,11
60,San Carlos,8,3/29/2020,"San Carlos, Region de Nuble, Chile","San+Carlos,+Region+de+Nuble,+Chile",0,-36.4229711,-71.9646398,1,Nuble,11
61,San Nicolas,3,3/29/2020,"San Nicolas, Region de Nuble, Chile","San+Nicolas,+Region+de+Nuble,+Chile",0,-36.5,-72.2167,1,Nuble,11
62,San Fabian,1,3/29/2020,"San Fabian, Region de Nuble, Chile","San+Fabian,+Region+de+Nuble,+Chile",0,-36.55,-71.55,1,Nuble,11
63,Colhueco,2,3/29/2020,"Colhueco, Region de Nuble, Chile","Colhueco,+Region+de+Nuble,+Chile",0,-36.6291031,-71.8327093,1,Nuble,11
64,Pinto,1,3/29/2020,"Pinto, Region de Nuble, Chile","Pinto,+Region+de+Nuble,+Chile",0,-36.7,-71.8940937,1,Nuble,11
65,El Carmen,1,3/29/2020,"El Carmen, Region de Nuble, Chile","El+Carmen,+Region+de+Nuble,+Chile",0,-36.9,-72.0333,1,Nuble,11
66,San Ignacio,2,3/29/2020,"San Ignacio, Region de Nuble, Chile","San+Ignacio,+Region+de+Nuble,+Chile",0,-36.533333,-72.433333,1,Nuble,11
67,Yungay,1,3/29/2020,"Yungay, Region de Nuble, Chile","Yungay,+Region+de+Nuble,+Chile",0,-37.1220156,-72.0131562,1,Nuble,11
68,Chiguayante,6,3/29/2020,"Chiguayante, Region del Biobio, Chile","Chiguayante,+Region+del+Biobio,+Chile",0,-36.9532201,-73.0173901,,Biobio,11
69,Concepcion,28,3/29/2020,"Concepcion, Region del Biobio, Chile","Concepcion,+Region+del+Biobio,+Chile",0,-36.8201352,-73.0443904,,Biobio,11
70,Los Angeles,11,3/29/2020,"Los Angeles, Region del Biobio, Chile","Los+Angeles,+Region+del+Biobio,+Chile",0,-37.4629159,-72.3612251,,Biobio,11
71,San Pedro de la Paz,18,3/29/2020,"San Pedro de la Paz, Region del Biobio, Chile","San+Pedro+de+la+Paz,+Region+del+Biobio,+Chile",0,-36.8305354,-73.1167368,,Biobio,11
72,Tome,4,3/29/2020,"Tome, Region del Biobio, Chile","Tome,+Region+del+Biobio,+Chile",0,-36.6131562,-72.9588593,,Biobio,11
73,Yumbel,5,3/29/2020,"Yumbel, Region del Biobio, Chile","Yumbel,+Region+del+Biobio,+Chile",0,-37.0833,-72.5667,,Biobio,11
74,Talcahuano,3,3/29/2020,"Talcahuano, Region del Biobio, Chile","Talcahuano,+Region+del+Biobio,+Chile",0,-36.7247834,-73.1169808,1,Biobio,11
75,Hualpen,2,3/29/2020,"Hualpen, Region del Biobio, Chile","Hualpen,+Region+del+Biobio,+Chile",0,-36.7866757,-73.1099531,1,Biobio,11
76,Hualqui,1,3/29/2020,"Hualqui, Region del Biobio, Chile","Hualqui,+Region+del+Biobio,+Chile",0,-36.9737875,-72.9368437,1,Biobio,11
77,Arauco,1,3/29/2020,"Arauco, Region del Biobio, Chile","Arauco,+Region+del+Biobio,+Chile",0,-37.2457765,-73.3166644,1,Biobio,11
78,Nacimiento,1,3/29/2020,"Nacimiento, Region del Biobio, Chile","Nacimiento,+Region+del+Biobio,+Chile",0,-37.5059062,-72.6737875,1,Biobio,11
79,Laja,2,3/29/2020,"Laja, Region del Biobio, Chile","Laja,+Region+del+Biobio,+Chile",0,-37.271425,-72.7194906,1,Biobio,11
80,Mulchen,1,3/29/2020,"Mulchen, Region del Biobio, Chile","Mulchen,+Region+del+Biobio,+Chile",0,-37.7178812,-72.2374343,1,Biobio,11
81,Santa Barbara,1,3/29/2020,"Santa Barbara, Region del Biobio, Chile","Santa+Barbara,+Region+del+Biobio,+Chile",0,-37.6667,-72.0167,1,Biobio,11
82,Alto Biobio,1,3/29/2020,"Alto Biobio, Region del Biobio, Chile","Alto+Biobio,+Region+del+Biobio,+Chile",0,-38.05,-71.316667,1,Biobio,11
83,Angol,7,3/29/2020,"Angol, Region de la Araucania, Chile","Angol,+Region+de+la+Araucania,+Chile",0,-37.8060734,-72.7038047,,Araucania,11
84,Gorbea,4,3/29/2020,"Gorbea, Region de la Araucania, Chile","Gorbea,+Region+de+la+Araucania,+Chile",0,-39.1005597,-72.67636,,Araucania,11
85,Padre las Casas,9,3/29/2020,"Padre las Casas, Region de la Araucania, Chile","Padre+las+Casas,+Region+de+la+Araucania,+Chile",0,-38.7682352,-72.5989708,,Araucania,11
86,Pitrufquen,4,3/29/2020,"Pitrufquen, Region de la Araucania, Chile","Pitrufquen,+Region+de+la+Araucania,+Chile",0,-38.9833,-72.6417312,,Araucania,11
87,Temuco,154,3/29/2020,"Temuco, Region de la Araucania, Chile","Temuco,+Region+de+la+Araucania,+Chile",0,-38.7359018,-72.5903739,,Araucania,11
88,Victoria,5,3/29/2020,"Victoria, Region de la Araucania, Chile","Victoria,+Region+de+la+Araucania,+Chile",0,-38.2326538,-72.3515084,,Araucania,11
89,Vilcun,4,3/29/2020,"Vilcun, Region de la Araucania, Chile","Vilcun,+Region+de+la+Araucania,+Chile",0,-38.6677187,-72.2244406,,Araucania,11
90,Perquenco,1,3/29/2020,"Perquenco, Region de la Araucania, Chile","Perquenco,+Region+de+la+Araucania,+Chile",0,-38.4161093,-72.3756218,1,Araucania,11
91,Carahue,1,3/29/2020,"Carahue, Region de la Araucania, Chile","Carahue,+Region+de+la+Araucania,+Chile",0,-38.7088593,-73.1678812,1,Araucania,11
92,Galvarino,1,3/29/2020,"Galvarino, Region de la Araucania, Chile","Galvarino,+Region+de+la+Araucania,+Chile",0,-38.4088593,-72.7821187,1,Araucania,11
93,Cholchol,2,3/29/2020,"Cholchol, Region de la Araucania, Chile","Cholchol,+Region+de+la+Araucania,+Chile",0,-38.6005906,-72.8411406,1,Araucania,11
94,Lautaro,1,3/29/2020,"Lautaro, Region de la Araucania, Chile","Lautaro,+Region+de+la+Araucania,+Chile",0,-38.5084312,-72.4541343,1,Araucania,11
95,Freire,1,3/29/2020,"Freire, Region de la Araucania, Chile","Freire,+Region+de+la+Araucania,+Chile",0,-38.9573,-72.6269289,1,Araucania,11
96,Tolten,1,3/29/2020,"Tolten, Region de la Araucania, Chile","Tolten,+Region+de+la+Araucania,+Chile",0,-39.1769265,-73.1681231,1,Araucania,11
97,Loncoche,1,3/29/2020,"Loncoche, Region de la Araucania, Chile","Loncoche,+Region+de+la+Araucania,+Chile",0,-39.3681199,-72.6315127,1,Araucania,11
98,Villarrica,3,3/29/2020,"Villarrica, Region de la Araucania, Chile","Villarrica,+Region+de+la+Araucania,+Chile",0,-39.2820124,-72.2307798,1,Araucania,11
99,Pucon,3,3/29/2020,"Pucon, Region de la Araucania, Chile","Pucon,+Region+de+la+Araucania,+Chile",0,-39.2722541,-71.9776285,1,Araucania,11
100,Curarrehue,1,3/29/2020,"Curarrehue, Region de la Araucania, Chile","Curarrehue,+Region+de+la+Araucania,+Chile",0,-39.3616465,-71.5890276,1,Araucania,11
101,Valdivia,12,3/29/2020,"Valdivia, Region de los Rios, Chile","Valdivia,+Region+de+los+Rios,+Chile",0,-39.8335811,-73.215417,,Los Rios,11
102,Mafil,2,3/29/2020,"Mafil, Region de los Rios, Chile","Mafil,+Region+de+los+Rios,+Chile",0,-39.6648976,-72.9571573,1,Los Rios,11
103,La Union,1,3/29/2020,"La Union, Region de los Rios, Chile","La+Union,+Region+de+los+Rios,+Chile",0,-40.2952749,-73.079328,1,Los Rios,11
104,Rio Bueno,1,3/29/2020,"Rio Bueno, Region de los Rios, Chile","Rio+Bueno,+Region+de+los+Rios,+Chile",0,-40.3313422,-72.9485366,1,Los Rios,11
105,Calbuco,3,3/29/2020,"Calbuco, Region de los Lagos, Chile","Calbuco,+Region+de+los+Lagos,+Chile",0,-41.7720156,-73.1327093,,Los Lagos,11
106,Osorno,66,3/29/2020,"Osorno, Region de los Lagos, Chile","Osorno,+Region+de+los+Lagos,+Chile",0,-40.5761897,-73.1149469,,Los Lagos,11
107,Puerto Montt,34,3/29/2020,"Puerto Montt, Region de los Lagos, Chile","Puerto+Montt,+Region+de+los+Lagos,+Chile",0,-41.468917,-72.9411364,,Los Lagos,11
108,San Pablo,1,3/29/2020,"San Pablo, Region de los Lagos, Chile","San+Pablo,+Region+de+los+Lagos,+Chile",0,-40.4124926,-73.0124926,,Los Lagos,11
109,Puyehue,1,3/29/2020,"Puyehue, Region de los Lagos, Chile","Puyehue,+Region+de+los+Lagos,+Chile",0,-40.6833658,-72.6015589,,Los Lagos,11
