day,region,date,region_lat,region_lon,n_obs
27,Los Rios,3/30/3020,-39.8185499,-73.2417066,7
27,Maule,3/30/3020,-35.4270536,-71.6483745,12
27,Metropolitana,3/30/3020,-33.3923636,-70.608036,128
27,Nuble,3/30/3020,-36.6096863,-72.1279976,32
27,Valparaiso,3/30/3020,-33.0097842,-71.5517663,28
27,Coquimbo,3/30/3020,-29.9682462,-71.339197,9
27,Arica y Parinacota,3/30/3020,-18.4781181,-70.3141952,2
27,Tarapaca,3/30/3020,-20.2141288,-70.140672,2
28,Araucania,3/31/2020,-38.7369966,-72.6018527,55
28,Biobio,3/31/2020,-36.8249391,-73.0401338,16
28,Los Lagos,3/31/2020,-41.4491726,-72.9594584,23
28,Los Rios,3/31/2020,-39.8185499,-73.2417066,11
28,Maule,3/31/2020,-35.4270536,-71.6483745,8
28,Metropolitana,3/31/2020,-33.3923636,-70.608036,125
28,Nuble,3/31/2020,-36.6096863,-72.1279976,15
28,Valparaiso,3/31/2020,-33.0097842,-71.5517663,7
28,Magallanes,3/31/2020,-53.1480972,-70.9503614,24
28,Coquimbo,3/31/2020,-29.9682462,-71.339197,1
28,Ohiggins,3/31/2020,-34.1547941,-70.7687629,2
28,Tarapaca,3/31/2020,-20.2141288,-70.140672,2
29,Antofagasta,4/1/2020,-22.4457586,-68.9203724,4
29,Araucania,4/1/2020,-38.7369966,-72.6018527,41
29,Atacama,4/1/2020,-27.3842181,-70.3308447,1
29,Aysen,4/1/2020,-45.2066761,-72.6862988,1
29,Biobio,4/1/2020,-36.8249391,-73.0401338,24
29,Los Lagos,4/1/2020,-41.4491726,-72.9594584,30
29,Los Rios,4/1/2020,-39.8185499,-73.2417066,6
29,Maule,4/1/2020,-35.4270536,-71.6483745,9
29,Metropolitana,4/1/2020,-33.3923636,-70.608036,101
29,Nuble,4/1/2020,-36.6096863,-72.1279976,14
29,Valparaiso,4/1/2020,-33.0097842,-71.5517663,21
29,Magallanes,4/1/2020,-53.1480972,-70.9503614,36
29,Coquimbo,4/1/2020,-29.9682462,-71.339197,2
29,Ohiggins,4/1/2020,-34.1547941,-70.7687629,3
29,Tarapaca,4/1/2020,-20.2141288,-70.140672,2
30,Antofagasta,4/2/2020,-22.4457586,-68.9203724,8
30,Araucania,4/2/2020,-38.7369966,-72.6018527,46
30,Aysen,4/2/2020,-45.2066761,-72.6862988,2
30,Biobio,4/2/2020,-36.8249391,-73.0401338,35
30,Los Lagos,4/2/2020,-41.4491726,-72.9594584,22
30,Los Rios,4/2/2020,-39.8185499,-73.2417066,4
30,Maule,4/2/2020,-35.4270536,-71.6483745,11
30,Metropolitana,4/2/2020,-33.3923636,-70.608036,115
30,Nuble,4/2/2020,-36.6096863,-72.1279976,82
30,Valparaiso,4/2/2020,-33.0097842,-71.5517663,20
30,Magallanes,4/2/2020,-53.1480972,-70.9503614,15
30,Coquimbo,4/2/2020,-29.9682462,-71.339197,4
30,Ohiggins,4/2/2020,-34.1547941,-70.7687629,6
30,Arica y Parinacota,4/2/2020,-18.4781181,-70.3141952,1
30,Tarapaca,4/2/2020,-20.2141288,-70.140672,2
31,Arica y Parinacota,4/3/2020,-18.4781181,-70.3141952,5
31,Tarapaca,4/3/2020,-20.2141288,-70.140672,1
31,Antofagasta,4/3/2020,-22.4457586,-68.9203724,7
31,Atacama,4/3/2020,-27.3842181,-70.3308447,2
31,Coquimbo,4/3/2020,-29.9682462,-71.339197,1
31,Valparaiso,4/3/2020,-33.0097842,-71.5517663,20
31,Metropolitana,4/3/2020,-33.3923636,-70.608036,106
31,Ohiggins,4/3/2020,-34.1547941,-70.7687629,1
31,Maule,4/3/2020,-35.4270536,-71.6483745,7
31,Nuble,4/3/2020,-36.6096863,-72.1279976,29
31,Biobio,4/3/2020,-36.8249391,-73.0401338,27
31,Araucania,4/3/2020,-38.7369966,-72.6018527,43
31,Los Rios,4/3/2020,-39.8185499,-73.2417066,10
31,Los Lagos,4/3/2020,-41.4491726,-72.9594584,31
31,Aysen,4/3/2020,-45.2066761,-72.6862988,1
31,Magallanes,4/3/2020,-53.1480972,-70.9503614,42
