date,area,pVMI_total,pVMI_covid,VMI_total,VMI_out
5/21/2020,Occidente,0.972,0.868,103,
5/21/2020,Oriente,0.815,0.717,75,
5/21/2020,Sur,0.928,0.747,77,
5/21/2020,Sur Oriente,0.892,0.892,83,
5/21/2020,Total,0.904,0.831,471,0.110701107
5/22/2020,Central,0.951,0.918,116,
5/22/2020,Norte,0.871,0.839,27,
5/22/2020,Occidente,0.981,0.895,103,
5/22/2020,Oriente,0.899,0.768,89,
5/22/2020,Sur,0.943,0.713,82,
5/22/2020,Sur Oriente,0.871,0.871,81,
5/22/2020,Total,0.927,0.84,498,0.117030568
5/23/2020,Central,0.959,0.962,117,
5/23/2020,Norte,0.794,0.794,27,
5/23/2020,Occidente,1,0.867,113,
5/23/2020,Oriente,0.875,0.798,91,
5/23/2020,Sur,0.951,0.854,78,
5/23/2020,Sur Oriente,0.874,0.863,83,
5/23/2020,Total,0.925,0.86,509,0.147082991
5/24/2020,Central,0.968,0.903,120,
5/24/2020,Norte,0.879,0.879,29,
5/24/2020,Occidente,0.941,0.874,112,
5/24/2020,Oriente,0.896,0.774,95,
5/24/2020,Sur,0.91,0.798,81,
5/24/2020,Sur Oriente,0.851,0.851,80,
5/24/2020,Total,0.915,0.846,517,0.162645914
5/25/2020,Central,0.96,0.895,119,
5/25/2020,Norte,0.794,0.824,27,
5/25/2020,Occidente,0.931,0.877,121,
5/25/2020,Oriente,0.896,0.83,95,
5/25/2020,Sur,1,0.851,87,
5/25/2020,Sur Oriente,0.897,0.897,87,
5/25/2020,Total,0.927,0.869,536,0.158668731
5/26/2020,Central,0.952,0.889,120,
5/26/2020,Norte,0.765,0.735,26,
5/26/2020,Occidente,0.946,0.892,123,
5/26/2020,Oriente,0.846,0.745,90,
5/26/2020,Sur,0.932,0.795,82,
5/26/2020,Sur Oriente,0.876,0.876,85,
5/26/2020,Total,0.905,0.838,526,0.163773585
5/27/2020,Central,0.947,0.916,124,
5/27/2020,Norte,0.824,0.824,28,
5/27/2020,Occidente,0.86,0.838,117,
5/27/2020,Oriente,0.849,0.792,90,
5/27/2020,Sur,0.943,0.852,83,
5/27/2020,Sur Oriente,0.911,0.851,92,
5/27/2020,Total,0.896,0.851,534,0.157816006
5/28/2020,Central,0.969,0.936,127,
5/28/2020,Norte,0.765,0.735,26,
5/28/2020,Occidente,0.924,0.885,121,
5/28/2020,Oriente,0.812,0.782,82,
5/28/2020,Sur,0.943,0.83,83,
5/28/2020,Sur Oriente,0.892,0.863,91,
5/28/2020,Total,0.903,0.859,530,0.158050222
5/29/2020,Central,0.977,0.961,125,
5/29/2020,Norte,0.853,0.706,29,
5/29/2020,Occidente,0.977,0.938,127,
5/29/2020,Oriente,0.842,0.812,85,
5/29/2020,Sur,0.955,0.852,84,
5/29/2020,Sur Oriente,0.931,0.901,94,
5/29/2020,Total,0.935,0.888,544,0.162554427
5/30/2020,Central,1,0.969,130,
5/30/2020,Norte,0.824,0.706,28,
5/30/2020,Occidente,0.985,0.938,128,
5/30/2020,Oriente,0.861,0.842,87,
5/30/2020,Sur,0.938,0.835,91,
5/30/2020,Sur Oriente,0.931,0.901,94,
5/30/2020,Total,0.941,0.892,558,0.177793394
5/31/2020,Central,0.992,0.97,131,
5/31/2020,Norte,0.912,0.882,31,
5/31/2020,Occidente,0.939,0.909,124,
5/31/2020,Oriente,0.851,0.822,86,
5/31/2020,Sur,0.918,0.856,89,
5/31/2020,Sur Oriente,0.921,0.881,93,
5/31/2020,Total,0.928,0.893,554,0.172942817
6/1/2020,Central,0.977,0.955,130,
6/1/2020,Norte,0.882,0.853,30,
6/1/2020,Occidente,0.942,0.927,129,
