id,comuna,n,date,address,address2,empty_address,lat,lon,aprox,region,zoom
,Penalolen,98,4/9/2020,"Penalolen, Region de Metropolitana, Chile","Penalolen,+Region+de+Metropolitana,+Chile",0,-33.4719116,-70.5627854,0,Metropolitana,
,Penalolen,131,4/12/2020,"Penalolen, Region de Metropolitana, Chile","Penalolen,+Region+de+Metropolitana,+Chile",0,-33.4719116,-70.5627854,0,Metropolitana,
,Pirque,9,4/9/2020,"Pirque, Region de Metropolitana, Chile","Pirque,+Region+de+Metropolitana,+Chile",0,-33.6874736,-70.5883812,0,Metropolitana,
,Pirque,10,4/12/2020,"Pirque, Region de Metropolitana, Chile","Pirque,+Region+de+Metropolitana,+Chile",0,-33.6874736,-70.5883812,0,Metropolitana,
,Providencia,129,4/9/2020,"Providencia, Region de Metropolitana, Chile","Providencia,+Region+de+Metropolitana,+Chile",0,-33.4314474,-70.6093325,0,Metropolitana,
,Providencia,136,4/12/2020,"Providencia, Region de Metropolitana, Chile","Providencia,+Region+de+Metropolitana,+Chile",0,-33.4314474,-70.6093325,0,Metropolitana,
,Pudahuel,67,4/9/2020,"Pudahuel, Region de Metropolitana, Chile","Pudahuel,+Region+de+Metropolitana,+Chile",0,-33.4421135,-70.7640644,0,Metropolitana,
,Pudahuel,78,4/12/2020,"Pudahuel, Region de Metropolitana, Chile","Pudahuel,+Region+de+Metropolitana,+Chile",0,-33.4421135,-70.7640644,0,Metropolitana,
,Puente Alto,239,4/9/2020,"Puente Alto, Region de Metropolitana, Chile","Puente+Alto,+Region+de+Metropolitana,+Chile",0,-33.6186082,-70.5906057,0,Metropolitana,
,Puente Alto,322,4/12/2020,"Puente Alto, Region de Metropolitana, Chile","Puente+Alto,+Region+de+Metropolitana,+Chile",0,-33.6186082,-70.5906057,0,Metropolitana,
,Quilicura,79,4/9/2020,"Quilicura, Region de Metropolitana, Chile","Quilicura,+Region+de+Metropolitana,+Chile",0,-33.3576747,-70.7292718,0,Metropolitana,
,Quilicura,94,4/12/2020,"Quilicura, Region de Metropolitana, Chile","Quilicura,+Region+de+Metropolitana,+Chile",0,-33.3576747,-70.7292718,0,Metropolitana,
,Quinta Normal,69,4/9/2020,"Quinta Normal, Region de Metropolitana, Chile","Quinta+Normal,+Region+de+Metropolitana,+Chile",0,-33.4317378,-70.6923917,0,Metropolitana,
