day,region,date,region_lat,region_lon,n_obs,n_obsSymp,n_obsAsymp,Deaths,Pop
23,Aysen,3/26/2020,-45.2066761,-72.6862988,1,,,0,107297.0
23,Biobio,3/26/2020,-36.8249391,-73.04013379999999,14,,,1,1663696.0
23,Los Lagos,3/26/2020,-41.449172600000004,-72.9594584,16,,,0,891440.0
23,Los Rios,3/26/2020,-39.8185499,-73.2417066,3,,,0,405835.0
23,Maule,3/26/2020,-35.4270536,-71.6483745,1,,,0,1131939.0
23,Metropolitana,3/26/2020,-33.3923636,-70.608036,64,,,0,8125072.0
23,Nuble,3/26/2020,-36.60968629999999,-72.12799759999999,3,,,0,511551.0
23,Valparaiso,3/26/2020,-33.0097842,-71.5517663,12,,,0,1960170.0
23,Magallanes,3/26/2020,-53.14809720000001,-70.9503614,6,,,0,178362.0
23,Coquimbo,3/26/2020,-29.9682462,-71.339197,1,,,0,836096.0
23,Ohiggins,3/26/2020,-34.1547941,-70.76876290000001,3,,,0,991063.0
23,Arica y Parinacota,3/26/2020,-18.4781181,-70.3141952,1,,,0,252110.0
23,Tarapaca,3/26/2020,-20.2141288,-70.140672,1,,,0,382773.0
24,Antofagasta,3/27/2020,-22.4457586,-68.9203724,1,,,0,691854.0
24,Araucania,3/27/2020,-38.736996600000005,-72.6018527,32,,,0,1014343.0
24,Biobio,3/27/2020,-36.8249391,-73.04013379999999,26,,,0,1663696.0
24,Los Lagos,3/27/2020,-41.449172600000004,-72.9594584,3,,,0,891440.0
24,Los Rios,3/27/2020,-39.8185499,-73.2417066,8,,,0,405835.0
24,Maule,3/27/2020,-35.4270536,-71.6483745,1,,,0,1131939.0
24,Metropolitana,3/27/2020,-33.3923636,-70.608036,192,,,1,8125072.0
24,Nuble,3/27/2020,-36.60968629999999,-72.12799759999999,30,,,0,511551.0
24,Valparaiso,3/27/2020,-33.0097842,-71.5517663,5,,,0,1960170.0
24,Magallanes,3/27/2020,-53.14809720000001,-70.9503614,3,,,0,178362.0
24,Coquimbo,3/27/2020,-29.9682462,-71.339197,1,,,0,836096.0
24,Ohiggins,3/27/2020,-34.1547941,-70.76876290000001,2,,,0,991063.0
25,Antofagasta,3/28/2020,-22.4457586,-68.9203724,4,,,0,691854.0
25,Araucania,3/28/2020,-38.736996600000005,-72.6018527,34,,,1,1014343.0
25,Biobio,3/28/2020,-36.8249391,-73.04013379999999,16,,,0,1663696.0
25,Los Lagos,3/28/2020,-41.449172600000004,-72.9594584,30,,,0,891440.0
25,Los Rios,3/28/2020,-39.8185499,-73.2417066,5,,,0,405835.0
25,Maule,3/28/2020,-35.4270536,-71.6483745,5,,,0,1131939.0
25,Metropolitana,3/28/2020,-33.3923636,-70.608036,146,,,0,8125072.0
25,Nuble,3/28/2020,-36.60968629999999,-72.12799759999999,28,,,0,511551.0
25,Valparaiso,3/28/2020,-33.0097842,-71.5517663,22,,,0,1960170.0
25,Magallanes,3/28/2020,-53.14809720000001,-70.9503614,4,,,0,178362.0
25,Coquimbo,3/28/2020,-29.9682462,-71.339197,1,,,0,836096.0
25,Ohiggins,3/28/2020,-34.1547941,-70.76876290000001,4,,,0,991063.0
26,Antofagasta,3/29/2020,-22.4457586,-68.9203724,2,,,0,691854.0
26,Araucania,3/29/2020,-38.736996600000005,-72.6018527,28,,,1,1014343.0
26,Atacama,3/29/2020,-27.384218100000005,-70.3308447,1,,,0,314709.0
26,Biobio,3/29/2020,-36.8249391,-73.04013379999999,34,,,0,1663696.0
26,Los Lagos,3/29/2020,-41.449172600000004,-72.9594584,11,,,0,891440.0
26,Los Rios,3/29/2020,-39.8185499,-73.2417066,13,,,0,405835.0
26,Maule,3/29/2020,-35.4270536,-71.6483745,5,,,0,1131939.0
26,Metropolitana,3/29/2020,-33.3923636,-70.608036,83,,,0,8125072.0
26,Nuble,3/29/2020,-36.60968629999999,-72.12799759999999,25,,,0,511551.0
26,Valparaiso,3/29/2020,-33.0097842,-71.5517663,9,,,0,1960170.0
26,Magallanes,3/29/2020,-53.14809720000001,-70.9503614,13,,,0,178362.0
26,Coquimbo,3/29/2020,-29.9682462,-71.339197,3,,,0,836096.0
26,Ohiggins,3/29/2020,-34.1547941,-70.76876290000001,1,,,0,991063.0
26,Arica y Parinacota,3/29/2020,-18.4781181,-70.3141952,1,,,0,252110.0
26,Tarapaca,3/29/2020,-20.2141288,-70.140672,1,,,0,382773.0
27,Antofagasta,3/30/3020,-22.4457586,-68.9203724,8,,,0,691854.0
27,Araucania,3/30/3020,-38.736996600000005,-72.6018527,42,,,0,1014343.0
27,Biobio,3/30/3020,-36.8249391,-73.04013379999999,16,,,0,1663696.0
27,Los Lagos,3/30/3020,-41.449172600000004,-72.9594584,24,,,0,891440.0
27,Los Rios,3/30/3020,-39.8185499,-73.2417066,7,,,0,405835.0
27,Maule,3/30/3020,-35.4270536,-71.6483745,12,,,1,1131939.0
27,Metropolitana,3/30/3020,-33.3923636,-70.608036,128,,,0,8125072.0
27,Nuble,3/30/3020,-36.60968629999999,-72.12799759999999,32,,,0,511551.0
27,Valparaiso,3/30/3020,-33.0097842,-71.5517663,28,,,0,1960170.0
27,Coquimbo,3/30/3020,-29.9682462,-71.339197,9,,,0,836096.0
27,Arica y Parinacota,3/30/3020,-18.4781181,-70.3141952,2,,,0,252110.0
27,Tarapaca,3/30/3020,-20.2141288,-70.140672,2,,,0,382773.0
28,Araucania,3/31/2020,-38.736996600000005,-72.6018527,55,,,2,1014343.0
28,Biobio,3/31/2020,-36.8249391,-73.04013379999999,15,,,0,1663696.0
28,Los Lagos,3/31/2020,-41.449172600000004,-72.9594584,23,,,0,891440.0
28,Los Rios,3/31/2020,-39.8185499,-73.2417066,11,,,0,405835.0
28,Maule,3/31/2020,-35.4270536,-71.6483745,8,,,0,1131939.0
28,Metropolitana,3/31/2020,-33.3923636,-70.608036,125,,,1,8125072.0
28,Nuble,3/31/2020,-36.60968629999999,-72.12799759999999,16,,,0,511551.0
28,Valparaiso,3/31/2020,-33.0097842,-71.5517663,7,,,1,1960170.0
28,Magallanes,3/31/2020,-53.14809720000001,-70.9503614,24,,,0,178362.0
28,Coquimbo,3/31/2020,-29.9682462,-71.339197,1,,,0,836096.0
28,Ohiggins,3/31/2020,-34.1547941,-70.76876290000001,2,,,0,991063.0
28,Tarapaca,3/31/2020,-20.2141288,-70.140672,2,,,0,382773.0
29,Antofagasta,4/1/2020,-22.4457586,-68.9203724,4,,,0,691854.0
29,Araucania,4/1/2020,-38.736996600000005,-72.6018527,41,,,2,1014343.0
29,Atacama,4/1/2020,-27.384218100000005,-70.3308447,1,,,0,314709.0
29,Aysen,4/1/2020,-45.2066761,-72.6862988,1,,,0,107297.0
29,Biobio,4/1/2020,-36.8249391,-73.04013379999999,24,,,0,1663696.0
29,Los Lagos,4/1/2020,-41.449172600000004,-72.9594584,30,,,0,891440.0
29,Los Rios,4/1/2020,-39.8185499,-73.2417066,6,,,1,405835.0
29,Maule,4/1/2020,-35.4270536,-71.6483745,9,,,0,1131939.0
29,Metropolitana,4/1/2020,-33.3923636,-70.608036,101,,,1,8125072.0
29,Nuble,4/1/2020,-36.60968629999999,-72.12799759999999,14,,,0,511551.0
29,Valparaiso,4/1/2020,-33.0097842,-71.5517663,21,,,0,1960170.0
29,Magallanes,4/1/2020,-53.14809720000001,-70.9503614,36,,,0,178362.0
29,Coquimbo,4/1/2020,-29.9682462,-71.339197,2,,,0,836096.0
29,Ohiggins,4/1/2020,-34.1547941,-70.76876290000001,3,,,0,991063.0
29,Tarapaca,4/1/2020,-20.2141288,-70.140672,0,,,0,382773.0
30,Antofagasta,4/2/2020,-22.4457586,-68.9203724,8,,,0,691854.0
30,Araucania,4/2/2020,-38.736996600000005,-72.6018527,46,,,1,1014343.0
30,Aysen,4/2/2020,-45.2066761,-72.6862988,2,,,0,107297.0
30,Biobio,4/2/2020,-36.8249391,-73.04013379999999,35,,,0,1663696.0
30,Los Lagos,4/2/2020,-41.449172600000004,-72.9594584,22,,,0,891440.0
30,Los Rios,4/2/2020,-39.8185499,-73.2417066,4,,,0,405835.0
30,Maule,4/2/2020,-35.4270536,-71.6483745,11,,,0,1131939.0
30,Metropolitana,4/2/2020,-33.3923636,-70.608036,115,,,1,8125072.0
30,Nuble,4/2/2020,-36.60968629999999,-72.12799759999999,82,,,0,511551.0
30,Valparaiso,4/2/2020,-33.0097842,-71.5517663,20,,,0,1960170.0
30,Magallanes,4/2/2020,-53.14809720000001,-70.9503614,15,,,0,178362.0
30,Coquimbo,4/2/2020,-29.9682462,-71.339197,4,,,0,836096.0
30,Ohiggins,4/2/2020,-34.1547941,-70.76876290000001,6,,,0,991063.0
30,Arica y Parinacota,4/2/2020,-18.4781181,-70.3141952,1,,,0,252110.0
30,Tarapaca,4/2/2020,-20.2141288,-70.140672,2,,,0,382773.0
31,Arica y Parinacota,4/3/2020,-18.4781181,-70.3141952,5,,,0,252110.0
31,Tarapaca,4/3/2020,-20.2141288,-70.140672,1,,,0,382773.0
31,Antofagasta,4/3/2020,-22.4457586,-68.9203724,7,,,0,691854.0
31,Atacama,4/3/2020,-27.384218100000005,-70.3308447,2,,,0,314709.0
31,Coquimbo,4/3/2020,-29.9682462,-71.339197,1,,,0,836096.0
31,Valparaiso,4/3/2020,-33.0097842,-71.5517663,20,,,0,1960170.0
31,Metropolitana,4/3/2020,-33.3923636,-70.608036,106,,,2,8125072.0
31,Ohiggins,4/3/2020,-34.1547941,-70.76876290000001,1,,,0,991063.0
31,Maule,4/3/2020,-35.4270536,-71.6483745,7,,,0,1131939.0
31,Nuble,4/3/2020,-36.60968629999999,-72.12799759999999,29,,,1,511551.0
31,Biobio,4/3/2020,-36.8249391,-73.04013379999999,27,,,0,1663696.0
31,Araucania,4/3/2020,-38.736996600000005,-72.6018527,43,,,0,1014343.0
31,Los Rios,4/3/2020,-39.8185499,-73.2417066,10,,,0,405835.0
31,Los Lagos,4/3/2020,-41.449172600000004,-72.9594584,31,,,0,891440.0
31,Aysen,4/3/2020,-45.2066761,-72.6862988,1,,,0,107297.0
31,Magallanes,4/3/2020,-53.14809720000001,-70.9503614,42,,,1,178362.0
32,Arica y Parinacota,4/4/2020,-18.4781181,-70.3141952,0,,,0,252110.0
32,Tarapaca,4/4/2020,-20.2141288,-70.140672,4,,,0,382773.0
32,Antofagasta,4/4/2020,-22.4457586,-68.9203724,1,,,0,691854.0
32,Atacama,4/4/2020,-27.384218100000005,-70.3308447,0,,,0,314709.0
32,Coquimbo,4/4/2020,-29.9682462,-71.339197,9,,,0,836096.0
32,Valparaiso,4/4/2020,-33.0097842,-71.5517663,9,,,0,1960170.0
32,Metropolitana,4/4/2020,-33.3923636,-70.608036,215,,,1,8125072.0
32,Ohiggins,4/4/2020,-34.1547941,-70.76876290000001,5,,,0,991063.0
32,Maule,4/4/2020,-35.4270536,-71.6483745,8,,,0,1131939.0
32,Nuble,4/4/2020,-36.60968629999999,-72.12799759999999,31,,,1,511551.0
32,Biobio,4/4/2020,-36.8249391,-73.04013379999999,45,,,0,1663696.0
32,Araucania,4/4/2020,-38.736996600000005,-72.6018527,45,,,2,1014343.0
32,Los Rios,4/4/2020,-39.8185499,-73.2417066,11,,,0,405835.0
32,Los Lagos,4/4/2020,-41.449172600000004,-72.9594584,25,,,0,891440.0
32,Aysen,4/4/2020,-45.2066761,-72.6862988,0,,,0,107297.0
32,Magallanes,4/4/2020,-53.14809720000001,-70.9503614,16,,,1,178362.0
33,Arica y Parinacota,4/5/2020,-18.4781181,-70.3141952,16,,,0,252110.0
33,Tarapaca,4/5/2020,-20.2141288,-70.140672,3,,,0,382773.0
33,Antofagasta,4/5/2020,-22.4457586,-68.9203724,5,,,0,691854.0
33,Atacama,4/5/2020,-27.384218100000005,-70.3308447,0,,,0,314709.0
33,Coquimbo,4/5/2020,-29.9682462,-71.339197,6,,,0,836096.0
33,Valparaiso,4/5/2020,-33.0097842,-71.5517663,6,,,0,1960170.0
33,Metropolitana,4/5/2020,-33.3923636,-70.608036,145,,,1,8125072.0
33,Ohiggins,4/5/2020,-34.1547941,-70.76876290000001,3,,,0,991063.0
33,Maule,4/5/2020,-35.4270536,-71.6483745,6,,,0,1131939.0
33,Nuble,4/5/2020,-36.60968629999999,-72.12799759999999,24,,,1,511551.0
33,Biobio,4/5/2020,-36.8249391,-73.04013379999999,18,,,0,1663696.0
33,Araucania,4/5/2020,-38.736996600000005,-72.6018527,32,,,4,1014343.0
33,Los Rios,4/5/2020,-39.8185499,-73.2417066,10,,,0,405835.0
33,Los Lagos,4/5/2020,-41.449172600000004,-72.9594584,17,,,1,891440.0
33,Aysen,4/5/2020,-45.2066761,-72.6862988,1,,,0,107297.0
33,Magallanes,4/5/2020,-53.14809720000001,-70.9503614,18,,,0,178362.0
34,Arica y Parinacota,4/6/2020,-18.4781181,-70.3141952,13,,,0,252110.0
34,Tarapaca,4/6/2020,-20.2141288,-70.140672,1,,,0,382773.0
34,Antofagasta,4/6/2020,-22.4457586,-68.9203724,8,,,0,691854.0
34,Atacama,4/6/2020,-27.384218100000005,-70.3308447,0,,,0,314709.0
34,Coquimbo,4/6/2020,-29.9682462,-71.339197,1,,,0,836096.0
34,Valparaiso,4/6/2020,-33.0097842,-71.5517663,7,,,0,1960170.0
34,Metropolitana,4/6/2020,-33.3923636,-70.608036,142,,,0,8125072.0
34,Ohiggins,4/6/2020,-34.1547941,-70.76876290000001,1,,,0,991063.0
34,Maule,4/6/2020,-35.4270536,-71.6483745,5,,,0,1131939.0
34,Nuble,4/6/2020,-36.60968629999999,-72.12799759999999,49,,,1,511551.0
34,Biobio,4/6/2020,-36.8249391,-73.04013379999999,18,,,0,1663696.0
34,Araucania,4/6/2020,-38.736996600000005,-72.6018527,53,,,1,1014343.0
34,Los Rios,4/6/2020,-39.8185499,-73.2417066,5,,,0,405835.0
34,Los Lagos,4/6/2020,-41.449172600000004,-72.9594584,10,,,1,891440.0
34,Aysen,4/6/2020,-45.2066761,-72.6862988,0,,,0,107297.0
34,Magallanes,4/6/2020,-53.14809720000001,-70.9503614,31,,,0,178362.0
35,Arica y Parinacota,4/7/2020,-18.4781181,-70.3141952,12,,,0,252110.0
35,Tarapaca,4/7/2020,-20.2141288,-70.140672,2,,,0,382773.0
35,Antofagasta,4/7/2020,-22.4457586,-68.9203724,1,,,1,691854.0
35,Atacama,4/7/2020,-27.384218100000005,-70.3308447,1,,,0,314709.0
35,Coquimbo,4/7/2020,-29.9682462,-71.339197,1,,,0,836096.0
