region,comuna,date,WeeklyCases,week,CumCases,Pop
Araucania,Angol,Week 13: 05/17 to 05/23,0,13,0,56058
Araucania,Angol,Week 10: 04/26 to 05/02,0,10,0,56058
Araucania,Angol,Week 15: 05/31 to 06/06,0,15,0,56058
Araucania,Angol,Week 3: 03/08 to 03/14,0,3,0,56058
Araucania,Angol,Week 4: 03/15 to 03/21,0,4,0,56058
Araucania,Angol,Week 0: 02/16 to 02/22,0,0,0,56058
Araucania,Angol,Week 12: 05/10 to 05/16,0,12,0,56058
Araucania,Angol,Week 6: 03/29 to 04/04,0,6,0,56058
Araucania,Angol,Week 1: 02/23 to 02/29,0,1,0,56058
Araucania,Angol,Week 5: 03/22 to 03/28,0,5,0,56058
Araucania,Angol,Week 16: 06/07 to 06/13,0,16,0,56058
Magallanes,Antartica,Week 16: 06/07 to 06/13,0,16,0,137
Magallanes,Antartica,Week 0: 02/16 to 02/22,0,0,0,137
Magallanes,Antartica,Week 12: 05/10 to 05/16,0,12,0,137
Magallanes,Antartica,Week 11: 05/03 to 05/09,0,11,0,137
Magallanes,Antartica,Week 13: 05/17 to 05/23,0,13,0,137
Magallanes,Antartica,Week 9: 04/19 to 04/25,0,9,0,137
Magallanes,Antartica,Week 2: 03/01 to 03/07,0,2,0,137
Magallanes,Antartica,Week 6: 03/29 to 04/04,0,6,0,137
Magallanes,Antartica,Week 3: 03/08 to 03/14,0,3,0,137
Magallanes,Antartica,Week 15: 05/31 to 06/06,0,15,0,137
Magallanes,Antartica,Week 10: 04/26 to 05/02,0,10,0,137
Magallanes,Antartica,Week 8: 04/12 to 04/18,0,8,0,137
Magallanes,Antartica,Week 5: 03/22 to 03/28,0,5,0,137
Magallanes,Antartica,Week 4: 03/15 to 03/21,0,4,0,137
Magallanes,Antartica,Week 1: 02/23 to 02/29,0,1,0,137
Magallanes,Antartica,Week 7: 04/05 to 04/11,0,7,0,137
Magallanes,Antartica,Week 14: 05/24 to 05/30,0,14,0,137
Antofagasta,Antofagasta,Week 7: 04/05 to 04/11,0,7,0,425725
Antofagasta,Antofagasta,Week 5: 03/22 to 03/28,0,5,0,425725
Antofagasta,Antofagasta,Week 0: 02/16 to 02/22,0,0,0,425725
Antofagasta,Antofagasta,Week 14: 05/24 to 05/30,0,14,0,425725
Antofagasta,Antofagasta,Week 9: 04/19 to 04/25,0,9,0,425725
Antofagasta,Antofagasta,Week 12: 05/10 to 05/16,0,12,0,425725
Antofagasta,Antofagasta,Week 1: 02/23 to 02/29,0,1,0,425725
Antofagasta,Antofagasta,Week 16: 06/07 to 06/13,0,16,0,425725
Antofagasta,Antofagasta,Week 2: 03/01 to 03/07,0,2,0,425725
Antofagasta,Antofagasta,Week 6: 03/29 to 04/04,0,6,0,425725
Antofagasta,Antofagasta,Week 4: 03/15 to 03/21,0,4,0,425725
Antofagasta,Antofagasta,Week 8: 04/12 to 04/18,0,8,0,425725
Antofagasta,Antofagasta,Week 3: 03/08 to 03/14,0,3,0,425725
Antofagasta,Antofagasta,Week 15: 05/31 to 06/06,0,15,0,425725
Antofagasta,Antofagasta,Week 13: 05/17 to 05/23,0,13,0,425725
Antofagasta,Antofagasta,Week 10: 04/26 to 05/02,0,10,0,425725
Antofagasta,Antofagasta,Week 11: 05/03 to 05/09,0,11,0,425725
Biobio,Antuco,Week 12: 05/10 to 05/16,0,12,0,4306
Biobio,Antuco,Week 8: 04/12 to 04/18,0,8,0,4306
Biobio,Antuco,Week 15: 05/31 to 06/06,0,15,0,4306
Biobio,Antuco,Week 14: 05/24 to 05/30,0,14,0,4306
Biobio,Antuco,Week 1: 02/23 to 02/29,0,1,0,4306
Biobio,Antuco,Week 13: 05/17 to 05/23,0,13,0,4306
Biobio,Antuco,Week 5: 03/22 to 03/28,0,5,0,4306
Biobio,Antuco,Week 0: 02/16 to 02/22,0,0,0,4306
Biobio,Antuco,Week 2: 03/01 to 03/07,0,2,0,4306
Biobio,Antuco,Week 4: 03/15 to 03/21,0,4,0,4306
