region_casen,comuna_code,comuna,inc_pc_comuna,poor_comuna,poor_ext_comuna,fonasa_comuna,Pop,area_km2,density
13,13302,Lampa,382349.63,0.032846209,0.004060069,0.77276224,126898,449.555,282.27469
14,14103,Lanco,198810.88,0.19523248,0.035011485,0.88130856,17652,532.442,33.152908
6,6107,Las Cabras,199851.66,0.15308642,0.036479492,0.92477101,26749,753.478,35.500706
13,13114,Las Condes,1280186.5,0.00182385,0.00119975,0.23566709,330759,98.3961,3361.5051
9,9108,Lautaro,265453.28,0.14749424,0.056201339,0.88493806,40746,907.435,44.90239
8,8201,Lebu,282401.53,0.11342481,0.01709196,0.96364951,27100,567.532,47.75061
7,7303,Licanten,194357.77,0.24943879,0.066024035,0.88181698,6989,273.712,25.534138
5,5802,Limache,273877.44,0.0464091,0.002406713,0.89485008,49931,295.985,168.69437
7,7401,Linares,248378.75,0.10866778,0.020121248,0.87279719,101073,1468.93,68.807228
6,6203,Litueche,235920.52,0.10374746,0.013476094,0.94443417,6765,612.638,11.04241
5,5703,Llaillay,293055.78,0.060456559,0.014800569,0.87419516,26533,348.795,76.070473
10,10107,Llanquihue,209732.14,0.16777532,0.059391826,0.93374515,18621,420.047,44.330753
13,13115,Lo Barnechea,651160.94,0.028141715,0.006627912,0.61089098,124076,1024.73,121.08165
13,13116,Lo Espejo,249659.84,0.058212992,0.012289281,0.85847765,103865,8.18165,12694.872
13,13117,Lo Prado,285706.03,0.051754069,0.007381178,0.82109374,104403,6.53509,15975.756
6,6304,Lolol,186748.39,0.1420003,0,0.94197029,7289,597.735,12.194367
9,9109,Loncoche,181386.34,0.299353,0.082876474,0.91406137,24739,973.903,25.401915
7,7403,Longavi,169753.13,0.27487123,0.041489996,0.90808421,32810,1454.28,22.560993
9,9205,Lonquimay,188511.59,0.35571152,0.088466153,0.97211194,11049,3932.85,2.809413
5,5301,Los Andes,354991.16,0.063447535,0.034222856,0.7540614,68093,1252.61,54.360893
14,14104,Los Lagos,215102.91,0.15607375,0.050902888,0.93810135,20518,1792.21,11.448435
10,10106,Los Muermos,279943.34,0.089841418,0.02707186,0.88985467,17817,1231.75,14.464786
9,9206,Los Sauces,201248.25,0.22741549,0.087980859,0.92913675,7517,851.973,8.8230495
4,4203,Los Vilos,236295.31,0.16564849,0.001456861,0.9315815,23374,1860.3,12.56464
8,8206,Los alamos,201489.05,0.13761845,0.06894657,0.97239393,22524,602.52,37.382992
8,8301,Los angeles,265159.53,0.1680381,0.041596666,0.86507422,218515,1752.32,124.70039
8,8106,Lota,219104.19,0.17468075,0.038705416,0.92129016,45750,114.933,398.05801
9,9207,Lumaco,161960.91,0.33214405,0.1054857,0.94158226,10050,1112.64,9.0325708
6,6108,Machali,412376.22,0.073424503,0.031831879,0.67897707,59913,2594.05,23.096317
13,13118,Macul,354729.25,0.074265897,0.005606766,0.68252873,134635,12.7941,10523.21
14,14105,Mafil,252154.8,0.10183853,0.030055955,0.82557952,7389,579.902,12.741808
13,13119,Maipu,366328.66,0.023977986,0.004133551,0.69708228,578605,138.038,4191.6357
6,6109,Malloa,244240.86,0.10514335,0.014298926,0.88276303,14163,219.766,64.445816
6,6204,Marchihue,221420.66,0.038546797,0.014778325,0.89458126,7632,658.693,11.586581
2,2302,Maria Elena,288820.75,0.041870825,0.023162583,0.61336303,6814,12200.8,0.55848795
13,13504,Maria Pinto,204762.47,0.12482317,0.041940585,0.84904718,14926,394.507,37.834564
14,14106,Mariquina,207406.22,0.15426901,0.071286552,0.89789474,23250,1299.84,17.886816
7,7105,Maule,198643.36,0.1016575,0,0.96905714,60000,237.372,252.76781
10,10108,Maullin,199555.06,0.1730136,0.029637761,0.92848098,14894,813.892,18.299725
2,2102,Mejillones,312419.16,0.07973168,0.059352975,0.71223569,14776,3569.51,4.139504
9,9110,Melipeuco,217973.72,0.25933126,0.056959566,0.80229396,6265,1107.73,5.6557102
13,13501,Melipilla,261528.19,0.04861936,0.002746437,0.86069256,141612,1341.65,105.55063
7,7304,Molina,222455.89,0.10465628,0.059158582,0.88497072,49800,1516.92,32.829681
4,4303,Monte Patria,174719.7,0.22026502,0.037835971,0.92778194,32527,4210.27,7.7256327
6,6110,Mostazal,248348.72,0.094021298,0.041650556,0.87575132,27462,524.881,52.320431
8,8305,Mulchen,226453.53,0.14107543,0.027184466,0.95616132,31041,1922.64,16.144989
8,8306,Nacimiento,217718.17,0.15650108,0.065743126,0.88814569,27944,911.777,30.647844
6,6305,Nancagua,204513.36,0.11488573,0.054859903,0.92683476,19141,150.684,127.02742
12,12401,Natales,390585.94,0.021628994,0.006576384,0.74834371,23782,51138.8,0.46504807
6,6205,Navidad,194565.75,0.13095018,0.058158919,0.92035562,6904,301.72,22.882143
8,8307,Negrete,183233.48,0.13366504,0.056315731,0.9010517,10429,155.675,66.992134
16,16204,Ninhue,180065.61,0.25302505,0.099827141,0.91616249,5414,403.334,13.423119
16,16303,Niquen,178670.64,0.17411792,0.043213423,0.96919894,0,491.946,23.512743
5,5506,Nogales,210131.69,0.059269194,0,0.8467803,23490,405.645,57.907776
9,9111,Nueva Imperial,198299.7,0.16880111,0.019717239,0.90908515,33777,763.077,44.26421
13,13120,Nunoa,916750.94,0.008604049,0.005265598,0.38406646,250192,16.9119,14793.844
6,6111,Olivar,255246.17,0.066698819,0.008199546,0.86005652,14624,43.9997,332.36591
5,5803,Olmue,280451.69,0.053519454,0,0.83688742,19266,230.499,83.583878
10,10301,Osorno,285812.72,0.085530207,0.019235985,0.83088487,173410,955.484,181.48917
4,4301,Ovalle,255478.23,0.051897127,0.008859637,0.8848682,121269,3557.7,34.086349
13,13604,Padre Hurtado,299801.84,0.11452504,0.043951944,0.82674801,74188,80.5922,920.53571
9,9112,Padre Las Casas,237399.27,0.18995887,0.06946528,0.87130415,82110,402.499,204.0005
4,4105,Paiguano,210071.23,0.14606741,0,0.92156863,4675,1497.14,3.1226203
14,14107,Paillaco,201967.13,0.20907165,0.062148061,0.91682595,20798,902.736,23.038851
13,13404,Paine,316605.25,0.025394859,0,0.76878572,82766,676.393,122.36378
6,6306,Palmilla,214728.23,0.070400953,0,0.89205754,13299,234.308,56.758625
14,14108,Panguipulli,194900.75,0.13282114,0.014827658,0.87432367,35991,3290.63,10.937419
5,5704,Panquehue,218759.73,0.098046727,0.012766501,0.86212182,7633,120.275,63.462898
5,5403,Papudo,320341,0.0947835,0.017047392,0.87964541,6201,166.373,37.271671
6,6206,Paredones,209113.91,0.15754858,0.031240657,0.98026907,6349,573.229,11.075852
7,7404,Parral,209985.31,0.16739064,0.03833019,0.93437696,44544,1637.8,27.19746
13,13121,Pedro Aguirre Cerda,243062.09,0.055056583,0.027534707,0.77156204,107803,8.50131,12680.752
7,7106,Pelarco,209361.41,0.16589031,0.014124718,0.88174307,9083,330.114,27.514738
7,7203,Pelluhue,178703.02,0.25873956,0.088423856,0.94411516,8092,368.337,21.969011
16,16105,Pemuco,160624.72,0.27037531,0.077725962,0.92216301,8639,563.173,15.339869
13,13605,Penaflor,307646.47,0.041891389,0.022317963,0.8100633,101058,69.1245,1461.9708
13,13122,Penalolen,497786.31,0.041404329,0.012364357,0.728697,266798,53.4682,4989.8442
7,7107,Pencahue,225630.92,0.05414119,0,0.96475822,8601,955.203,9.0043688
8,8107,Penco,233170.45,0.06954024,0.028191989,0.89251584,49865,108.009,461.6745
6,6307,Peralillo,240297.09,0.059016392,0.009367681,0.87447309,11848,282.493,41.940861
9,9113,Perquenco,232159.86,0.1886574,0.036168981,0.81669563,7223,331.05,21.818457
5,5404,Petorca,197470.97,0.075633772,0,0.95181227,10558,1516.98,6.9598808
6,6112,Peumo,217954.28,0.13503112,0.036051061,0.93046379,14952,154.102,97.026642
1,1405,Pica,384969.47,0.11227554,0.015039433,0.8768723,5958,8952.42,0.6655184
6,6113,Pichidegua,199832.59,0.16932794,0,0.91622031,20743,320.799,64.660423
6,6201,Pichilemu,357978.63,0.010925449,0,0.78843188,17882,716.02,24.974163
16,16106,Pinto,165290.22,0.31965151,0.15475121,0.84982938,11880,1101.95,10.780889
13,13202,Pirque,442693.72,0.062453806,0,0.71348852,30433,444.733,68.429825
9,9114,Pitrufquen,267901.72,0.078221813,0.018655943,0.85133284,26096,578.63,45.099632
6,6308,Placilla,212635.06,0.23029166,0.05095467,0.92714065,9164,144.739,63.313965
16,16205,Portezuelo,163140.3,0.15507412,0.042645384,0.93797034,4940,290.367,17.012953
12,12301,Porvenir,513583.38,0,0,0.88457566,7323,7197.47,1.0174408
1,1401,Pozo Almonte,285030.38,0.104991,0.019352222,0.73770207,17395,13652,1.2741723
13,13123,Providencia,1300158.1,0.004284127,0.003265636,0.24334037,157749,14.3965,10957.455
5,5105,Puchuncavi,227632.61,0.068052821,0.036358528,0.91610003,20071,300.773,66.731392
9,9115,Pucon,286335.59,0.063907996,0.004253531,0.86414957,29782,1241.53,23.988144
13,13124,Pudahuel,285671.47,0.084277235,0.034656402,0.79209805,253139,198.107,1277.7893
13,13201,Puente Alto,308984.53,0.07258635,0.020312997,0.77788883,645909,87.8319,7353.9229
10,10101,Puerto Montt,291558.53,0.11744595,0.038283043,0.82092404,269398,1677.35,160.6093
10,10302,Puerto Octay,253872.27,0.11444607,0.041616261,0.90914589,9192,1803.5,5.0967565
10,10109,Puerto Varas,353975.22,0.053173959,0.006220263,0.78841823,48620,4067.05,11.954611
6,6309,Pumanque,255940.16,0.11483254,0,0.84962404,3531,441.167,8.0037718
4,4304,Punitaqui,181053.33,0.28102821,0.066180699,0.95655096,12165,1091.6,11.144192
12,12101,Punta Arenas,462101.84,0.022223681,0.007451724,0.6709342,141984,17769.2,7.9904556
10,10206,Puqueldon,196915,0.12653689,0,0.99026638,4201,95.5453,43.968674
9,9208,Puren,179011.86,0.13106473,0.047755219,0.94423795,12188,465.476,26.183949
10,10303,Purranque,248583.56,0.10699899,0.041691843,0.92854983,21080,1458.24,14.455782
5,5705,Putaendo,184589.38,0.091652565,0.01641286,0.81410038,17645,1454.73,12.129398
15,15201,Putre,279856.59,0.16489361,0.033687942,0.80319148,2515,5888.02,0.42713851
10,10304,Puyehue,270409.53,0.10805501,0.037819255,0.91876227,11787,1628.42,7.2383046
10,10207,Queilen,184308.42,0.21746846,0.071372241,0.92231864,5543,328.765,16.860067
10,10208,Quellon,230291.73,0.13243526,0.053960789,0.914675,29309,3364.38,8.7115602
10,10209,Quemchi,176940.81,0.23844363,0.026272032,0.96341866,8783,436.694,20.112482
8,8308,Quilaco,197592.5,0.22518159,0.007869249,0.9464286,4179,1126.26,3.710511
13,13125,Quilicura,318005.03,0.055807844,0.021693157,0.80610836,254694,56.7641,4486.8853
8,8309,Quilleco,191344.19,0.17286171,0.029776178,0.91596723,10032,1121.99,8.9412565
16,16107,Quillon,235017.11,0.19243047,0.050550453,0.90736759,18777,406.218,46.223949
5,5501,Quillota,253245.97,0.099954769,0.028076207,0.79127961,97572,302.407,322.65128
